positive,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
positive,1.26405E+17
positive,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
positive,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
positive,1.26396E+17
positive,1.26395E+17
positive,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
positive,Great up close & personal event @Apple tonight in Regent St store!
positive,From which companies do you experience the best customer service aside from @zappos and @apple?
positive,"Just apply for a job at @Apple, hope they call me lol"
positive,1.26366E+17
positive,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
positive,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
positive,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
positive,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
positive,\u4f60\u597d ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  \ue516\ue513
positive,1.26355E+17
positive,"Come to the dark side \U0001f4f1\u201c@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.\u201d"
positive,1.26351E+17
positive,1.2635E+17
positive,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
positive,1.26344E+17
positive,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
positive,@DailyDealChat @apple Thanks!!
positive,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
positive,1.26324E+17
positive,@apple @siri is efffing amazing!!
positive,1.26319E+17
positive,"RT @TripLingo: We're one of a few Featured Education Apps"" on the @Apple **Website** today"" sweet! http://t.co/0yWvbe1Z"""
positive,"We're one of a few Featured Education Apps"" on the @Apple **Website** today"" sweet! http://t.co/0yWvbe1Z"""
positive,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered\n\n\uf8ff\uf8ff\uf8ff"
positive,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
positive,1.26313E+17
positive,---\xbb RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
positive,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
positive,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
positive,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
positive,At the bus with my iPhone ;) thxx @apple
positive,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app."
positive,1.26267E+17
positive,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
positive,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
positive,1.26213E+17
positive,@bkad5161 than apologize to @apple ;)
positive,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
positive,Lmfao look at the argument I had with Siri !!\n@ijustine @apple http://t.co/D4VjL7SI
positive,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
positive,1.26149E+17
positive,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
positive,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
positive,1.26131E+17
positive,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple"
positive,Well at least the @apple store has amazing call waiting music! #need4s
positive,#sweet... #apple replaced my glass #probono. thank you @apple
positive,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
positive,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology"
positive,I'm loving this new IOS5 update :) @apple
positive,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
positive,1.26093E+17
positive,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
positive,1.26079E+17
positive,Thank you @apple. My new gf(iphone4s) is great!  She does everything!
positive,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
positive,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
positive,@apple loving the new IOS5 upgrade for the iPhone!
positive,1.26064E+17
positive,Once again getting great customer service from the @apple store at millenia mall.
positive,Is it just me or is #iOS5 faster for the iPad? @apple
positive,1.26059E+17
positive,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
positive,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
positive,1.2604E+17
positive,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
positive,1.2604E+17
positive,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
positive,@Apple Safari Reader owns the worldwide web
positive,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
positive,1.26015E+17
positive,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
positive,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)"
positive,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
positive,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w"
positive,1.25995E+17
positive,1.25979E+17
positive,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!"
positive,1.25978E+17
positive,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
positive,@iancollinsuk @apple I like what you did there...!
positive,I just sent my grandma a post card using my #CardsApp thanks @Apple
positive,1.25954E+17
positive,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend?"" Glad to hear it's still alive."""
positive,1.25947E+17
positive,1.25943E+17
positive,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)"
positive,1.25933E+17
positive,1.2593E+17
positive,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
positive,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
positive,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
positive,1.25911E+17
positive,1.2591E+17
positive,1.25908E+17
positive,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
positive,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
positive,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
positive,1.25899E+17
positive,"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone"
positive,@apple your simply the best.
positive,1.25817E+17
positive,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
positive,"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness"
positive,1.25728E+17
positive,Loving the new iPod update @apple
positive,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
positive,1.25714E+17
positive,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
positive,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
positive,Loving my new #iPhone4S thanks @apple for #ios5
positive,1.25707E+17
positive,@apple the iPhone 4s is great #genius
positive,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.
positive,1.25689E+17
positive,1.25686E+17
positive,@apple Siri is amazing
positive,@rygurl you need an @apple iphone4S with Siri!
positive,"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple"
positive,1.25673E+17
positive,"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac"
positive,1.25666E+17
positive,I \u2665 @Apple http://t.co/a8on3IAa
positive,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
positive,Loving #iOS5 !! #awesome @Apple
positive,"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}"
positive,1.25645E+17
positive,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
positive,1.25634E+17
positive,1.25633E+17
positive,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
positive,"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done."
positive,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
positive,1.25616E+17
positive,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
positive,1.25608E+17
positive,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
positive,1.25595E+17
positive,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D
positive,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
positive,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
positive,"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple."
positive,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
positive,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
positive,@RickySinghPT got a new backside for my eye phone! V impressed with @apple
positive,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
positive,1.25537E+17
positive,1.25534E+17
positive,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
positive,1.25523E+17
positive,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
positive,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required
positive,New iOS 5 update is THE BEST. iloveyou @apple
positive,"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson."
positive,1.25459E+17
positive,"I absolutely love my iPhone 4S. Thank you, Steve and @apple."
positive,1.25445E+17
positive,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
positive,1.25423E+17
positive,"dammit, listening to siri is making me want to upgrade. well played @apple."
positive,"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature"
positive,1.25403E+17
