2,#Silver &#GOLD #Apple tumbles no matter how many sold #Microsoft buys them 4 a nice price so get in there show #justsayin #Droid rules inend
2,Ballmer On Not Buying Yahoo: \nhttp://t.co/ypM4GXf9 \n\n#Microsoft #Yahoo #Skype #Xbox #Google #Bing #Ballmer
0,The Nike Training Club (beta) iPhone app looks very interesting.
0,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
2,"#Twitter honey i don't freaking know anymore &gt;&lt;""
twitter"""
2,#google #icecream #galaxy #nexus http://t.co/gkoHBpN8
2,Ha! Even #twitter is telling me we're meant to be!
3,Have anyone of you found a Twitter to Google+ tool? #Google #Twitter
2,"#Microsoft's plan for bringing its #BI tools to iOS, Android, and Windows 8\ndevices\nhttp://ww... Read more at http://t.co/bhhgh5QC"
2,#Microsoft shows 'touch screen' for any surface | Nanotech - The Circuits Blog - CNET News http://t.co/qwhoCf5T via @cnet
2,Twitter Buzz Builds for the Occupy Wall Street Movement [CHARTS] http://t.co/E44Qd1u2 #Twitter
2,This!!!!!! RT @DennieB_15 \U0001f466\U0001f467\U0001f469\U0001f468\U0001f476\U0001f475\U0001f474\U0001f471\U0001f472\U0001f473\U0001f477\U0001f482\U0001f478\U0001f46e..... Um why No black people\u2754\u2754\u2754@Apple
2,@cloudnewsindia The War of #Email #Cloud Computing: #Google vs. #Microsoft http://t.co/zu9pSwSG
2,Dennis Goedegebuure's Thoughts on Changes in #Google Analytics: I contacted Dennis and asked... http://t.co/okCwNrpq
3,@sportsguy33 Ummm
3,Are you using #Google+ and #Linkedin yet? These are essential tools to get your company and/or you on the FIRST page of Google. Contact...
2,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/gIHYpzWO #PampersHelloApps"
0,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
2,#Microsoft We support you. Retweet if u support us or want to.
0,Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/xoLRaueY #microsoft
1,"Thanks to a 90 minute wait on hold, half an hour actually talking to someone, the @Apple tech decides to send me an email to fix my phone"
2,#Android #Google Official Promo Video Reveals Verizon Wireless Destination http://t.co/xKH7UGY4 #DhilipSiva
2,Find & give information about software bugs & help improve #Microsoft products. Apply to become a #Beta Tester http://t.co/OSWEfixz #ITPro
0,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
0,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w"
2,quick hands on #Galaxy #Nexus by #Samsung #google #android #ICS #4 #icecreamsandwich http://t.co/22cF2m6d
2,wait... i don't really care what people are doing in their daily lives #twitter
1,"Waited in line for nothing, fucking genius @Apple called an app for John"" not ""jean"" stop fucking up my name im not a French boy. #PCam ..."""
2,@stevemoakler i had a dentist appt this morning and had the same conversation!
2,engineers #google Manny Marroquin #MannyMarroquin
3,Well @apple seems 2b screwing #iphone 4s resellars. They still dont have 4s. Yet were promised. Similar 2 Ma Bell's monopolistic prctices?
2,#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/STIfQWTU
1,@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.
0,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
3,Can you say #twitter those #followers who are #following me??
2,"Infosys, has tied up with Microsoft to provide cloud-based offerings to clients... http://t.co/zwqwpdQ4 #cloud #infosys #microsoft #technews"
2,You are welcome to join our LIVE free webinar right now. It's about #Citrix monitoring through #Microsoft #SCOM: http://t.co/Sr7pIP9B
2,#Google Wallet now supported by seven new retailers [video] http://t.co/LCrWw4ld via @BGR
0,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
0,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
2,#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits
3,"RT @KanvasKings: 1,500 #followers on #Twitter and 2,500 #fans on #Facebook? Takeover imminent? #HellYeah. ALL SHIRTS JUST $15 til Monday!"
2,Damn girl I'll follow u to the end of the road\n\n#twitter
2,"wasn't impressed with the #iPhone4S and now not impressed with the #GalaxyNexus, so let's see what #Nokia - #Microsoft have to offer..."
2,Good morning #twitter.
2,#twitter and #Facebook gone get sumbody beat up mane everybody b so reckless
2,Thank You Steve : A Song Created for Steve Jobs http://t.co/2vtX8ZJf via @TechHamlet @AzRmusic @Apple #stevejobs #apple
2,RT @dalmaer: WebGL infinite bookcase UI http://t.co/bvu1qtkT #google
2,"Google Offers to compete with Groupon, Living Social - Pittsburgh Post-Gazette http://t.co/Wwj3xvdm #google"
2,#Twitter&FBOff
0,"We're one of a few Featured Education Apps"" on the @Apple **Website** today"" sweet! http://t.co/0yWvbe1Z"""
2,RT @frizzy_drizzy: @iTaylor_Simpson u post on #twitter to much like ery 5 sec #Damn
0,RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO
2,"Anyone seen this? If your brand needs to track #SEO keyword landing through to a conversion, well #Google just capped ...http://t.co/g4coBopL"
2,New Microsoft Security Essentials v2.1 Released with updated Antimalware Engine http://t.co/2etgYjEZ #Microsoft #SecurityEssentials #Windows
2,Like to get my hands on an ice cream sandwich #android #google
2,Suppose Microsoft Had Bought Siri - Forbes http://t.co/HoJx73Hh #apple #microsoft #siri
3,"@asherroth World Cup 2010 Access?? Damn, that's a good look!"
0,S/O to #google for getting me through high school and college....you are appreciated
1,"#Microsoft, #Adobe lose $13.5bn to piracy: Report http://t.co/x4yWfNSV"
2,"#Samsung, #Google Android 4 reveal: Live Event Blog by #engadet http://t.co/DL68lKQU"
1,@apple my iPhone is charging very slowly!!!!!
2,@Adaddy101 @johnodame .. all this flirting over #twitter is starting to make me think you guys got a crush on each other #bromance.
2,Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china
1,I'm not getting all of my @ replies #twitter if it wasn't for my emails telling me that some1 replied to me I wouldn't even know it #nobueno
0,Watching Night at the Museum - giggling.
3,http://t.co/pUvXwjjc How do #CMM & #BBC get #massive #hits? Is #Google @ work? blogspot http://t.co/KPdXWPEB wp http://t.co/31g0geqy
1,"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the.."
3,if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?
3,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
1,There are too many #google services that do not work when you are a #googleapps user. #googleplus above all + profiles + #plusone
2,#Pearson and #Google take advantage of the profound lack of LMS PD with their new offering http://t.co/4RsRDU4G Also do not do reporting
